alpha3_code,date,name
AGO,2017-11-02,All Souls' Day
AGO,2017-11-11,National Independence Day
AGO,2017-12-25,Christmas and Family Day
AGO,2018-01-01,New Year's Day
AGO,2018-02-04,Liberation Movement Day
AGO,2018-02-05,Day off for Liberation Movement Day
AGO,2018-02-13,Carnival Day
AGO,2018-03-08,International Women's Day
AGO,2018-03-30,Good Friday
AGO,2018-04-04,Peace and National Reconciliation Day
AGO,2018-05-01,International Worker's Day
AGO,2018-09-17,National Heroes' Day
AGO,2018-11-02,All Souls' Day
AGO,2018-11-11,National Independence Day
AGO,2018-12-24,Day off for Christmas and Family Day
AGO,2018-12-25,Christmas and Family Day
AGO,2018-12-31,Day off for New Year's Day
AGO,2019-01-01,New Year's Day
AGO,2019-02-04,Liberation Movement Day
AGO,2019-03-04,Day off for Carnival Day
AGO,2019-03-05,Carnival Day
AGO,2019-03-08,International Women's Day
AGO,2019-03-23,Southern Africa Liberation Day
AGO,2019-04-04,Peace and National Reconciliation Day
AGO,2019-04-05,Day off for Peace and National Reconciliation Day
AGO,2019-04-19,Good Friday
AGO,2019-05-01,International Worker's Day
AGO,2019-09-16,Day off for National Heroes' Day
AGO,2019-09-17,National Heroes' Day
AGO,2019-11-02,All Souls' Day
AGO,2019-11-11,National Independence Day
AGO,2019-12-25,Christmas and Family Day
AGO,2020-01-01,New Year's Day
AGO,2020-02-03,Day off for Liberation Movement Day
AGO,2020-02-04,Liberation Movement Day
AGO,2020-02-24,Day off for Carnival Day
AGO,2020-02-25,Carnival Day
AGO,2020-03-08,International Women's Day
AGO,2020-03-23,Southern Africa Liberation Day
AGO,2020-04-04,Peace and National Reconciliation Day
AGO,2020-04-10,Good Friday
AGO,2020-05-01,International Worker's Day
AGO,2020-09-17,National Heroes' Day
AGO,2020-09-18,Day off for National Heroes' Day
AGO,2020-11-02,All Souls' Day
AGO,2020-11-11,National Independence Day
AGO,2020-12-25,Christmas and Family Day
AGO,2021-01-01,New Year's Day
AGO,2021-02-04,Liberation Movement Day
AGO,2021-02-05,Day off for Liberation Movement Day
AGO,2021-02-15,Day off for Carnival Day
AGO,2021-02-16,Carnival Day
AGO,2021-03-08,International Women's Day
AGO,2021-03-22,Day off for Southern Africa Liberation Day
AGO,2021-03-23,Southern Africa Liberation Day
AGO,2021-04-02,Good Friday
AGO,2021-04-04,Peace and National Reconciliation Day
AGO,2021-05-01,International Worker's Day
AGO,2021-09-17,National Heroes' Day
AGO,2021-11-01,Day off for All Souls' Day
AGO,2021-11-02,All Souls' Day
AGO,2021-11-11,National Independence Day
AGO,2021-11-12,Day off for National Independence Day
AGO,2021-12-25,Christmas and Family Day
AGO,2022-01-01,New Year's Day
AGO,2022-02-04,Liberation Movement Day
AGO,2022-02-28,Day off for Carnival Day
AGO,2022-03-01,Carnival Day
AGO,2022-03-07,Day off for International Women's Day
AGO,2022-03-08,International Women's Day
AGO,2022-03-23,Southern Africa Liberation Day
AGO,2022-04-04,Peace and National Reconciliation Day
AGO,2022-04-15,Good Friday
AGO,2022-05-01,International Worker's Day
AGO,2022-09-17,National Heroes' Day
AGO,2022-11-02,All Souls' Day
AGO,2022-11-11,National Independence Day
AGO,2022-12-25,Christmas and Family Day
AGO,2023-01-01,New Year's Day
AGO,2023-02-04,Liberation Movement Day
AGO,2023-02-20,Day off for Carnival Day
AGO,2023-02-21,Carnival Day
AGO,2023-03-08,International Women's Day
AGO,2023-03-23,Southern Africa Liberation Day
AGO,2023-03-24,Day off for Southern Africa Liberation Day
AGO,2023-04-03,Day off for Peace and National Reconciliation Day
AGO,2023-04-04,Peace and National Reconciliation Day
AGO,2023-04-07,Good Friday
AGO,2023-05-01,International Worker's Day
AGO,2023-09-17,National Heroes' Day
AGO,2023-11-02,All Souls' Day
AGO,2023-11-03,Day off for All Souls' Day
AGO,2023-11-11,National Independence Day
AGO,2023-12-25,Christmas and Family Day
AGO,2024-01-01,New Year's Day
AGO,2024-02-04,Liberation Movement Day
AGO,2024-02-12,Day off for Carnival Day
AGO,2024-02-13,Carnival Day
AGO,2024-03-08,International Women's Day
AGO,2024-03-23,Southern Africa Liberation Day
AGO,2024-03-29,Good Friday
AGO,2024-04-04,Peace and National Reconciliation Day
AGO,2024-04-05,Day off for Peace and National Reconciliation Day
AGO,2024-05-01,International Worker's Day
AGO,2024-09-16,Day off for National Heroes' Day
AGO,2024-09-17,National Heroes' Day
AGO,2024-11-02,All Souls' Day
AGO,2024-11-11,National Independence Day
AGO,2024-12-25,Christmas and Family Day
AGO,2025-01-01,New Year's Day
AGO,2025-02-03,Day off for Liberation Movement Day
AGO,2025-02-04,Liberation Movement Day
AGO,2025-03-03,Day off for Carnival Day
AGO,2025-03-04,Carnival Day
AGO,2025-03-08,International Women's Day
AGO,2025-03-23,Southern Africa Liberation Day
AGO,2025-04-04,Peace and National Reconciliation Day
AGO,2025-04-18,Good Friday
AGO,2025-05-01,International Worker's Day
AGO,2025-05-02,Day off for International Worker's Day
AGO,2025-09-17,National Heroes' Day
AGO,2025-11-02,All Souls' Day
AGO,2025-11-10,Day off for National Independence Day
AGO,2025-11-11,National Independence Day
AGO,2025-12-25,Christmas and Family Day
AGO,2025-12-26,Day off for Christmas and Family Day
AGO,2026-01-01,New Year's Day
AGO,2026-01-02,Day off for New Year's Day
AGO,2026-02-04,Liberation Movement Day
AGO,2026-02-16,Day off for Carnival Day
AGO,2026-02-17,Carnival Day
AGO,2026-03-08,International Women's Day
AGO,2026-03-23,Southern Africa Liberation Day
AGO,2026-04-03,Good Friday
AGO,2026-04-04,Peace and National Reconciliation Day
AGO,2026-05-01,International Worker's Day
AGO,2026-09-17,National Heroes' Day
AGO,2026-09-18,Day off for National Heroes' Day
AGO,2026-11-02,All Souls' Day
AGO,2026-11-11,National Independence Day
AGO,2026-12-25,Christmas and Family Day
AIA,2015-01-01,New Year's Day
AIA,2015-03-02,James Ronald Webster Day
AIA,2015-04-03,Good Friday
AIA,2015-04-05,Easter Sunday
AIA,2015-04-06,Easter Monday
AIA,2015-05-01,Labor Day
AIA,2015-05-25,Whit Monday
AIA,2015-05-30,Anguilla Day
AIA,2015-06-01,Anguilla Day (observed)
AIA,2015-06-08,Queen's Birthday
AIA,2015-08-03,August Monday
AIA,2015-08-06,August Thursday
AIA,2015-08-07,Constitution Day
AIA,2015-12-18,National Heroes and Heroines Day (observed)
AIA,2015-12-19,National Heroes and Heroines Day
AIA,2015-12-25,Christmas Day
AIA,2015-12-26,Boxing Day
AIA,2015-12-28,Boxing Day (observed)
AIA,2016-01-01,New Year's Day
AIA,2016-03-02,James Ronald Webster Day
AIA,2016-03-25,Good Friday
AIA,2016-03-27,Easter Sunday
AIA,2016-03-28,Easter Monday
AIA,2016-05-01,Labor Day
AIA,2016-05-02,Labor Day (observed)
AIA,2016-05-16,Whit Monday
AIA,2016-05-30,Anguilla Day
AIA,2016-06-13,Queen's Birthday
AIA,2016-08-01,August Monday
AIA,2016-08-04,August Thursday
AIA,2016-08-05,Constitution Day
AIA,2016-12-19,National Heroes and Heroines Day
AIA,2016-12-25,Christmas Day
AIA,2016-12-26,Boxing Day
AIA,2016-12-27,Christmas Day (observed)
AIA,2017-01-01,New Year's Day
AIA,2017-01-02,New Year's Day (observed)
AIA,2017-03-02,James Ronald Webster Day
AIA,2017-04-14,Good Friday
AIA,2017-04-16,Easter Sunday
AIA,2017-04-17,Easter Monday
AIA,2017-05-01,Labor Day
AIA,2017-05-30,Anguilla Day
AIA,2017-06-05,Whit Monday
AIA,2017-06-12,Queen's Birthday
AIA,2017-08-07,August Monday
AIA,2017-08-10,August Thursday
AIA,2017-08-11,Constitution Day
AIA,2017-12-19,National Heroes and Heroines Day
AIA,2017-12-25,Christmas Day
AIA,2017-12-26,Boxing Day
AIA,2018-01-01,New Year's Day
AIA,2018-03-02,James Ronald Webster Day
AIA,2018-03-30,Good Friday
AIA,2018-04-01,Easter Sunday
AIA,2018-04-02,Easter Monday
AIA,2018-05-01,Labor Day
AIA,2018-05-21,Whit Monday
AIA,2018-05-30,Anguilla Day
AIA,2018-06-11,Queen's Birthday
AIA,2018-08-06,August Monday
AIA,2018-08-09,August Thursday
AIA,2018-08-10,Constitution Day
AIA,2018-12-19,National Heroes and Heroines Day
AIA,2018-12-25,Christmas Day
AIA,2018-12-26,Boxing Day
AIA,2019-01-01,New Year's Day
AIA,2019-03-02,James Ronald Webster Day
AIA,2019-03-04,James Ronald Webster Day (observed)
AIA,2019-04-19,Good Friday
AIA,2019-04-21,Easter Sunday
AIA,2019-04-22,Easter Monday
AIA,2019-05-01,Labor Day
AIA,2019-05-30,Anguilla Day
AIA,2019-06-10,Queen's Birthday; Whit Monday
AIA,2019-08-05,August Monday
AIA,2019-08-08,August Thursday
AIA,2019-08-09,Constitution Day
AIA,2019-12-19,National Heroes and Heroines Day
AIA,2019-12-25,Christmas Day
AIA,2019-12-26,Boxing Day
AIA,2020-01-01,New Year's Day
AIA,2020-03-02,James Ronald Webster Day
AIA,2020-04-10,Good Friday
AIA,2020-04-12,Easter Sunday
AIA,2020-04-13,Easter Monday
AIA,2020-05-01,Labor Day
AIA,2020-05-30,Anguilla Day
AIA,2020-06-01,Whit Monday
AIA,2020-06-02,Anguilla Day (observed)
AIA,2020-06-08,Queen's Birthday
AIA,2020-08-03,August Monday
AIA,2020-08-06,August Thursday
AIA,2020-08-07,Constitution Day
AIA,2020-12-18,National Heroes and Heroines Day (observed)
AIA,2020-12-19,National Heroes and Heroines Day
AIA,2020-12-25,Christmas Day
AIA,2020-12-26,Boxing Day
AIA,2020-12-28,Boxing Day (observed)
AIA,2021-01-01,New Year's Day
AIA,2021-03-02,James Ronald Webster Day
AIA,2021-04-02,Good Friday
AIA,2021-04-04,Easter Sunday
AIA,2021-04-05,Easter Monday
AIA,2021-05-01,Labor Day
AIA,2021-05-03,Labor Day (observed)
AIA,2021-05-24,Whit Monday
AIA,2021-05-30,Anguilla Day
AIA,2021-05-31,Anguilla Day (observed)
AIA,2021-06-14,Queen's Birthday
AIA,2021-08-02,August Monday
AIA,2021-08-05,August Thursday
AIA,2021-08-06,Constitution Day
AIA,2021-12-17,National Heroes and Heroines Day (observed)
AIA,2021-12-19,National Heroes and Heroines Day
AIA,2021-12-25,Christmas Day
AIA,2021-12-26,Boxing Day
AIA,2021-12-27,Christmas Day (observed)
AIA,2021-12-28,Boxing Day (observed)
AIA,2022-01-01,New Year's Day
AIA,2022-01-03,New Year's Day (observed)
AIA,2022-03-02,James Ronald Webster Day
AIA,2022-04-15,Good Friday
AIA,2022-04-17,Easter Sunday
AIA,2022-04-18,Easter Monday
AIA,2022-05-01,Labor Day
AIA,2022-05-02,Labor Day (observed)
AIA,2022-05-30,Anguilla Day
AIA,2022-06-03,Queen's Birthday
AIA,2022-06-06,Whit Monday
AIA,2022-08-01,August Monday
AIA,2022-08-04,August Thursday
AIA,2022-08-05,Constitution Day
AIA,2022-09-19,Mourning the Death of Her Majesty The Queen Elizabeth II
AIA,2022-12-19,National Heroes and Heroines Day
AIA,2022-12-25,Christmas Day
AIA,2022-12-26,Boxing Day
AIA,2022-12-27,Christmas Day (observed)
AIA,2023-01-01,New Year's Day
AIA,2023-01-02,New Year's Day (observed)
AIA,2023-03-02,James Ronald Webster Day
AIA,2023-04-07,Good Friday
AIA,2023-04-09,Easter Sunday
AIA,2023-04-10,Easter Monday
AIA,2023-05-01,Labor Day
AIA,2023-05-29,Whit Monday
AIA,2023-05-30,Anguilla Day
AIA,2023-06-19,King's Birthday
AIA,2023-08-07,August Monday
